@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute total_refugees numeric
@attribute refugees_move_out numeric
@attribute out_to_DRC numeric
@attribute out_to_Ethiopia numeric
@attribute out_to_Kenya numeric
@attribute out_to_Sudan numeric
@attribute out_to_uganda numeric
@attribute cereals.and.tubers numeric
@attribute non.food numeric
@attribute oil.and.fats numeric
@attribute pulses.and.nuts numeric

@data
38,0.253731,0.192308,0,0.162162,0.583333,0.428571,0.5,0.157895,0.285714,0.269231,0.444444,0.115385,0.695652,0,0,0,0.111111,0.636364,0.6875,0.081967,0.383929,0.979759,0.552832,0.038244,0.359285,0.614783,0.040521,0.693489,0.700732,0.084626,0.647343,0.530934
39,0.223881,0.115385,0,0.513514,0.083333,0.142857,0.214286,0.078947,0.285714,0.192308,0.222222,0,0.565217,0,1,0,0.222222,0.181818,0.375,0.081967,0.241071,0.966647,0.600266,0.037883,0.406195,0.617771,0.13457,0.622145,0.760537,0.078993,0.65797,0.645166
40,0.134328,0.153846,0,0.27027,0.416667,0,0.464286,0.105263,0.714286,0.307692,0.111111,0,0.586957,0,0,0,0,0.272727,0.1875,0.180328,0.25,0.976069,0.616509,0.041932,0.436368,0.609472,0.140077,0.657573,0.760537,0.078993,0.65797,0.645166
41,0.19403,0.153846,0,0.351351,0.166667,0,0.035714,0.263158,0.571429,0.153846,0,0,0.369565,0.083333,0,0,0.222222,0.272727,0.125,0.163934,0.169643,0.983305,0.594251,0.041972,0.423563,0.617549,0.123792,0.693003,0.865126,0.851285,0.830523,0.780062
42,0.164179,0,0,0.27027,0.083333,0.285714,1,0.078947,0,0.076923,0.111111,0,0.652174,0,0,0,0.222222,0.090909,0.25,0.098361,0.241071,0.986895,0.591779,0.027541,0.379138,0.591804,0.115779,0.684549,0.909858,0.913221,1,1
43,0.029851,0.038462,0,0.081081,0.333333,0.285714,0.107143,0.236842,1,0.192308,0.444444,0,0.23913,0,0,0,0,0.181818,0.375,0.147541,0.107143,0.99024,0.600932,0.033834,0.364873,0.615558,0.130305,0.673188,0.909858,0.913221,1,1
44,0.119403,0.230769,0,0,0.333333,0,0.035714,0.078947,0.285714,1,0.333333,0.153846,0.326087,0.333333,0,0,0,0.090909,0.375,0.163934,0.214286,0.994451,0.593893,0.035318,0.381034,0.603091,0.142042,0.660824,0.909858,0.913221,1,1
45,0.268657,0.153846,0,0.135135,0.666667,0,0.178571,0.026316,0,0.192308,0.222222,0,0.326087,0,0,0,0,0.090909,0.625,0.131148,0.160714,1,0.609521,0.019643,0.360858,0.600952,0.139107,0.675495,0.909858,0.913221,1,1
46,0.223881,0.153846,0,0.108108,0.083333,0,0.035714,0.026316,0.571429,0.038462,0.055556,0.076923,0,0,0,0,0,0.181818,0.6875,0.016393,0,0.990619,0.558995,0.018721,0.180436,0.602279,0.115835,0.675495,1,1,0.904497,0.99517
47,0.373134,0.153846,0,0.027027,0.416667,0,0.142857,0,0.285714,0.115385,0.222222,0,0.369565,0.166667,0,1,0,0,0.625,0.032787,0.142857,0.984876,0.591047,0.0182,0,0.59837,0.133114,0.675495,1,1,0.904497,0.99517
48,0.38806,0.076923,0,0.243243,0.833333,0,0.035714,0.026316,0.142857,0.846154,0.055556,0,0.695652,0.083333,0,0,0,0.363636,0.6875,0.147541,0.366071,0.834884,0,0.029986,0,0.581956,0.135934,0,1,1,0.904497,0.99517
